"Date","Day","01 Nearby","2005 09 Sep","2005 11 Nov","2006 01 Jan","2006 03 Mar","2006 05 May","2006 07 Jul","2006 11 Nov","2007 01 Jan","2007 03 Mar","2007 05 May","2007 07 Jul","2007 11 Nov","2008 01 Jan","2008 03 Mar","2008 05 May","2008 07 Jul","2008 11 Nov","2009 01 Jan","2009 03 Mar","2009 05 May","2009 07 Jul","2009 11 Nov","2010 01 Jan","2010 03 Mar","2010 05 May","2010 07 Jul","2010 11 Nov","2011 01 Jan","2011 03 Mar","2011 05 May","2011 07 Jul","2011 11 Nov","2012 01 Jan","2012 03 Mar","2012 05 May","2012 07 Jul","2012 11 Nov","2013 01 Jan","2013 03 Mar","2013 05 May","2013 07 Jul","2013 11 Nov","2014 01 Jan","2014 03 Mar","2014 05 May","2014 07 Jul","2014 11 Nov","2015 01 Jan","2015 03 Mar","2015 05 May","2015 07 Jul","2015 11 Nov","2016 01 Jan","2016 03 Mar","2016 05 May","2016 07 Jul","2016 11 Nov","2017 01 Jan","2017 03 Mar","2017 05 May","2017 07 Jul","2017 11 Nov","2018 01 Jan","2018 03 Mar","2018 05 May","2018 07 Jul","2018 11 Nov","2019 01 Jan","2019 03 Mar","2019 05 May","2019 07 Jul","2019 11 Nov"
01/08/2005 00:00:00,"Monday",66.2,66.2,68.25,69.6,71,72.6,73.6,72,72.9,74.75,76.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2005 00:00:00,"Tuesday",66.2,66.2,68.4,69.8,71.25,72.5,73.5,71.9,72.8,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/08/2005 00:00:00,"Wednesday",66.7,66.7,68.85,70.25,71.6,72.9,73.9,71.9,72.8,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/08/2005 00:00:00,"Thursday",66.85,66.85,69,70.4,71.7,73,74,71.9,72.8,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2005 00:00:00,"Friday",66.5,66.5,68.7,70.1,71.4,72.7,73.7,71.9,72.8,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2005 00:00:00,"Monday",66.2,66.2,68.4,69.8,71.1,72.4,73.4,71.9,72.8,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2005 00:00:00,"Tuesday",66.4,66.4,68.5,69.8,71.15,72.6,73.6,72,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2005 00:00:00,"Wednesday",66.5,66.5,68.6,69.9,71.25,72.7,73.7,72,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2005 00:00:00,"Thursday",66.5,66.5,68.85,70.15,71.5,72.95,73.95,72,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2005 00:00:00,"Friday",66.55,66.55,68.9,70.2,71.55,73,74,72,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2005 00:00:00,"Monday",66.35,66.35,68.7,70,71.35,72.8,73.8,72,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/08/2005 00:00:00,"Tuesday",66.5,66.5,68.35,69.65,71,72.5,73.8,71.75,73,74.65,76.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
